configuration,temperature_K,optical_width_MHz,ground_width_MHz,same_defect_inputs,evidence_status,classification,note,eta_assumed,target_contrast,required_control_MHz,required_control_GHz
Mechanically decoupled emitter (Dietrich 2020),300,65.0,3.002923454564063,False,best-case cross-defect synthesis,Class 0; conditional go candidate,"Room-temperature near-FT optical line, but no verified spin Lambda in that emitter.",0.1,0.9,inf,inf
Mechanically decoupled emitter + conservative spin width,300,65.0,10.0,False,best-case cross-defect synthesis,Class 0; conditional go candidate,Uses 10 MHz spin-dephasing proxy; Lambda/dipoles remain unknown.,1.0,0.1,16.996731711975947,0.016996731711975948
Mechanically decoupled emitter + conservative spin width,300,65.0,10.0,False,best-case cross-defect synthesis,Class 0; conditional go candidate,Uses 10 MHz spin-dephasing proxy; Lambda/dipoles remain unknown.,1.0,0.5,50.99019513592785,0.05099019513592785
Mechanically decoupled emitter + conservative spin width,300,65.0,10.0,False,best-case cross-defect synthesis,Class 0; conditional go candidate,Uses 10 MHz spin-dephasing proxy; Lambda/dipoles remain unknown.,1.0,0.9,152.97058540778355,0.15297058540778355
Mechanically decoupled emitter + conservative spin width,300,65.0,10.0,False,best-case cross-defect synthesis,Class 0; conditional go candidate,Uses 10 MHz spin-dephasing proxy; Lambda/dipoles remain unknown.,0.5,0.1,25.495097567963924,0.025495097567963924
Mechanically decoupled emitter + conservative spin width,300,65.0,10.0,False,best-case cross-defect synthesis,Class 0; conditional go candidate,Uses 10 MHz spin-dephasing proxy; Lambda/dipoles remain unknown.,0.5,0.5,inf,inf
Mechanically decoupled emitter + conservative spin width,300,65.0,10.0,False,best-case cross-defect synthesis,Class 0; conditional go candidate,Uses 10 MHz spin-dephasing proxy; Lambda/dipoles remain unknown.,0.5,0.9,inf,inf
Mechanically decoupled emitter + conservative spin width,300,65.0,10.0,False,best-case cross-defect synthesis,Class 0; conditional go candidate,Uses 10 MHz spin-dephasing proxy; Lambda/dipoles remain unknown.,0.2,0.1,50.99019513592785,0.05099019513592785
Mechanically decoupled emitter + conservative spin width,300,65.0,10.0,False,best-case cross-defect synthesis,Class 0; conditional go candidate,Uses 10 MHz spin-dephasing proxy; Lambda/dipoles remain unknown.,0.2,0.5,inf,inf
Mechanically decoupled emitter + conservative spin width,300,65.0,10.0,False,best-case cross-defect synthesis,Class 0; conditional go candidate,Uses 10 MHz spin-dephasing proxy; Lambda/dipoles remain unknown.,0.2,0.9,inf,inf
Mechanically decoupled emitter + conservative spin width,300,65.0,10.0,False,best-case cross-defect synthesis,Class 0; conditional go candidate,Uses 10 MHz spin-dephasing proxy; Lambda/dipoles remain unknown.,0.1,0.1,inf,inf
Mechanically decoupled emitter + conservative spin width,300,65.0,10.0,False,best-case cross-defect synthesis,Class 0; conditional go candidate,Uses 10 MHz spin-dephasing proxy; Lambda/dipoles remain unknown.,0.1,0.5,inf,inf
Mechanically decoupled emitter + conservative spin width,300,65.0,10.0,False,best-case cross-defect synthesis,Class 0; conditional go candidate,Uses 10 MHz spin-dephasing proxy; Lambda/dipoles remain unknown.,0.1,0.9,inf,inf
Akbari T^3 stress-test extrapolation,300,16669.59147442631,3.002923454564063,False,extrapolation beyond measured 120 K,Class 0 / likely practical no at fixed power,"Temperature model is a stress test, not a measured 300 K linewidth.",1.0,0.1,149.1569005615763,0.1491569005615763
Akbari T^3 stress-test extrapolation,300,16669.59147442631,3.002923454564063,False,extrapolation beyond measured 120 K,Class 0 / likely practical no at fixed power,"Temperature model is a stress test, not a measured 300 K linewidth.",1.0,0.5,447.47070168472885,0.44747070168472886
Akbari T^3 stress-test extrapolation,300,16669.59147442631,3.002923454564063,False,extrapolation beyond measured 120 K,Class 0 / likely practical no at fixed power,"Temperature model is a stress test, not a measured 300 K linewidth.",1.0,0.9,1342.4121050541867,1.3424121050541866
Akbari T^3 stress-test extrapolation,300,16669.59147442631,3.002923454564063,False,extrapolation beyond measured 120 K,Class 0 / likely practical no at fixed power,"Temperature model is a stress test, not a measured 300 K linewidth.",0.5,0.1,223.73535084236443,0.22373535084236443
Akbari T^3 stress-test extrapolation,300,16669.59147442631,3.002923454564063,False,extrapolation beyond measured 120 K,Class 0 / likely practical no at fixed power,"Temperature model is a stress test, not a measured 300 K linewidth.",0.5,0.5,inf,inf
Akbari T^3 stress-test extrapolation,300,16669.59147442631,3.002923454564063,False,extrapolation beyond measured 120 K,Class 0 / likely practical no at fixed power,"Temperature model is a stress test, not a measured 300 K linewidth.",0.5,0.9,inf,inf
Akbari T^3 stress-test extrapolation,300,16669.59147442631,3.002923454564063,False,extrapolation beyond measured 120 K,Class 0 / likely practical no at fixed power,"Temperature model is a stress test, not a measured 300 K linewidth.",0.2,0.1,447.47070168472885,0.44747070168472886
Akbari T^3 stress-test extrapolation,300,16669.59147442631,3.002923454564063,False,extrapolation beyond measured 120 K,Class 0 / likely practical no at fixed power,"Temperature model is a stress test, not a measured 300 K linewidth.",0.2,0.5,inf,inf
Akbari T^3 stress-test extrapolation,300,16669.59147442631,3.002923454564063,False,extrapolation beyond measured 120 K,Class 0 / likely practical no at fixed power,"Temperature model is a stress test, not a measured 300 K linewidth.",0.2,0.9,inf,inf
Akbari T^3 stress-test extrapolation,300,16669.59147442631,3.002923454564063,False,extrapolation beyond measured 120 K,Class 0 / likely practical no at fixed power,"Temperature model is a stress test, not a measured 300 K linewidth.",0.1,0.1,inf,inf
Akbari T^3 stress-test extrapolation,300,16669.59147442631,3.002923454564063,False,extrapolation beyond measured 120 K,Class 0 / likely practical no at fixed power,"Temperature model is a stress test, not a measured 300 K linewidth.",0.1,0.5,inf,inf
Akbari T^3 stress-test extrapolation,300,16669.59147442631,3.002923454564063,False,extrapolation beyond measured 120 K,Class 0 / likely practical no at fixed power,"Temperature model is a stress test, not a measured 300 K linewidth.",0.1,0.9,inf,inf
Whitefield representative room-temperature PL band,300,1356500.0,3.002923454564063,True,"PL bandwidth proxy, not homogeneous PLE linewidth",Not certifiable; practical no under this proxy,"Optical spin readout exists, but PL FWHM cannot be substituted for homogeneous linewidth in an exact test.",1.0,0.1,1345.5219005800357,1.3455219005800356
Whitefield representative room-temperature PL band,300,1356500.0,3.002923454564063,True,"PL bandwidth proxy, not homogeneous PLE linewidth",Not certifiable; practical no under this proxy,"Optical spin readout exists, but PL FWHM cannot be substituted for homogeneous linewidth in an exact test.",1.0,0.5,4036.565701740107,4.036565701740107
Whitefield representative room-temperature PL band,300,1356500.0,3.002923454564063,True,"PL bandwidth proxy, not homogeneous PLE linewidth",Not certifiable; practical no under this proxy,"Optical spin readout exists, but PL FWHM cannot be substituted for homogeneous linewidth in an exact test.",1.0,0.9,12109.697105220324,12.109697105220324
Whitefield representative room-temperature PL band,300,1356500.0,3.002923454564063,True,"PL bandwidth proxy, not homogeneous PLE linewidth",Not certifiable; practical no under this proxy,"Optical spin readout exists, but PL FWHM cannot be substituted for homogeneous linewidth in an exact test.",0.5,0.1,2018.2828508700536,2.0182828508700537
Whitefield representative room-temperature PL band,300,1356500.0,3.002923454564063,True,"PL bandwidth proxy, not homogeneous PLE linewidth",Not certifiable; practical no under this proxy,"Optical spin readout exists, but PL FWHM cannot be substituted for homogeneous linewidth in an exact test.",0.5,0.5,inf,inf
Whitefield representative room-temperature PL band,300,1356500.0,3.002923454564063,True,"PL bandwidth proxy, not homogeneous PLE linewidth",Not certifiable; practical no under this proxy,"Optical spin readout exists, but PL FWHM cannot be substituted for homogeneous linewidth in an exact test.",0.5,0.9,inf,inf
Whitefield representative room-temperature PL band,300,1356500.0,3.002923454564063,True,"PL bandwidth proxy, not homogeneous PLE linewidth",Not certifiable; practical no under this proxy,"Optical spin readout exists, but PL FWHM cannot be substituted for homogeneous linewidth in an exact test.",0.2,0.1,4036.565701740107,4.036565701740107
Whitefield representative room-temperature PL band,300,1356500.0,3.002923454564063,True,"PL bandwidth proxy, not homogeneous PLE linewidth",Not certifiable; practical no under this proxy,"Optical spin readout exists, but PL FWHM cannot be substituted for homogeneous linewidth in an exact test.",0.2,0.5,inf,inf
Whitefield representative room-temperature PL band,300,1356500.0,3.002923454564063,True,"PL bandwidth proxy, not homogeneous PLE linewidth",Not certifiable; practical no under this proxy,"Optical spin readout exists, but PL FWHM cannot be substituted for homogeneous linewidth in an exact test.",0.2,0.9,inf,inf
Whitefield representative room-temperature PL band,300,1356500.0,3.002923454564063,True,"PL bandwidth proxy, not homogeneous PLE linewidth",Not certifiable; practical no under this proxy,"Optical spin readout exists, but PL FWHM cannot be substituted for homogeneous linewidth in an exact test.",0.1,0.1,inf,inf
Whitefield representative room-temperature PL band,300,1356500.0,3.002923454564063,True,"PL bandwidth proxy, not homogeneous PLE linewidth",Not certifiable; practical no under this proxy,"Optical spin readout exists, but PL FWHM cannot be substituted for homogeneous linewidth in an exact test.",0.1,0.5,inf,inf
Whitefield representative room-temperature PL band,300,1356500.0,3.002923454564063,True,"PL bandwidth proxy, not homogeneous PLE linewidth",Not certifiable; practical no under this proxy,"Optical spin readout exists, but PL FWHM cannot be substituted for homogeneous linewidth in an exact test.",0.1,0.9,inf,inf
